,20250328,20250329,20250330,20250331,20250401,20250402,20250403,20250404,20250405,20250406,20250407,20250408,20250409,20250410,20250411,20250412,20250413,20250414,20250415,20250416,20250417,20250418,20250419,20250420,20250421,20250422,20250423,20250424,20250425,20250426,20250427,20250428,20250429,20250430,20250501,20250502,20250503,20250504,20250505,20250506,20250507,20250508,20250509,20250510,20250511,20250512,20250513,20250514,20250515,12 days,20250528,20250529,20250530,20250531,20250601,20250602,20250603,20250604,20250605,20250606,20250607,20250608,20250609,20250610,20250611,20250612,20250613,20250614,20250615,20250616,20250617,20250618,20250619,20250620,20250621,4 Days,20250626,20250627,20250628,20250629,20250630,20250701,20250702,20250704,20250704,20250705,20250706,20250707,20250708,20250709,20250710,20250711,20250712,20250713,20250714,20250715,20260716,20250717,20250718
Being Alive,,,p,,,,,P,,,,,,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bayou,,,,,,,,,,,,,p,,,p,,,,,,,A,X,,,,,,,,,,,,,,,,,,,,,,,,p,,,,p,,,p,X,,,p,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changing My Major,,,,,,,,,,,,,,,,,,,,,,p,           ,p,P,,P,,P,P,PX,,PX,,P,P,P,P,,P,,,,,,P,,PX,,,,P,P,PX,pX,p,P,,p,PX,PX,PXV,,,,,PX,,X,,P,X,,,p,,,p,,P,,,,P,,,P,P,X,,,X,,,P,,,,P
Edelweiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX,,X,,,,,,,
Empty Chairs at Empty Tables,X,X,,,,,,P,,,,,,,,p,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,p,,,,p,PX,,p,pX,X,,,,,X,,,,,p,,,,p,,p,,p,,p,p,,p,,p,,p,,,p,,p,p,,p,,,p,,,,p
Goodbye Yellow Brick Road,,,,p,,,,p,,p,P,Px,P,,,px,,P,,,,,A,PX,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopelessly Devoted To You,,,,,,,,,,,,p,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd Give My Life For You,p,,,,,,,P,,,,,,,,p,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,p,,P,,,,,P,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Going To Go Back There Someday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My House,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On My Own,,X,,,,,X,,,p,,,,,,X,,,,,,p,,P,,,,,,,,,P?,,,,,,,p,,,,,,P,,P,,,,P,P,P,,??,P,,P,P,,,p,p,,,p,P,P,,P,X,,,P,,P,P,,P,,P,,P,,,P,,,,,,,,,,,,P
Over the Rainbow,,,,,,,,,,,,,,,,,,,,,,PX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,p,,X?,,p,p,,,p,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out There,,,,,,,,P,,,,,,,,p,,P,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,p,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Part of Your World,,X,,,,,,pX,,p,,X,,,,X,,,,,,X,,X,,,,,,,,,X,,P,P,P,P,,P,,,,,,P,,PX,,,,P,PX,PX,PX,X,P,,,PX,PX,P,,p,P,,p,P,X,,P,,P,,P,,P,P,,P,,P,,P,,,P,,X,,,X,,,P,,,,P
Proud of Your Boy,X,,,,,,,P,,,,,,,,p,,P,,,,PX,A,,,,,,,,X,,P,,,,,,,,,,,,,P,,P,,,,P,P,,,pX,X?,,p,,,PX,,,,,X,,,,,,P,,,,,,,,,,,,,,,,PX,PX,,,,,,,,,
Pure Imagination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Someday,X,X,,,,,X,,,,,X,,,,X,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,P,,,,,,P,X,PX,,pX,p,,P,,,,p,,,,p,,X,,,X,,,,,,,,,,,,,,,,,p,,,X,,,,,,,
Somewhere That's Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,P,,,,,,,,,,,P,,PX,,,,,,,p,pX,P,,p,,,,p,,,,p,,,,,,p,,p,,,p,,p,,p,,p,,,p,,p,p,,,,,,,,,p
Still Hurting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,P,,,,,,,,,,,,,,,,,,,,,,,,p,,,,p,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
What I Did For Love,,p,X,,,,,p,,,,,,p,,X,,,,,,,A,, ,,,,,,,,X,,,,,,,,,,,,,,,P,,,,,,,p,X,X?,,p,,,P,P,,,,p,,,,,pVX,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I Grow Up,X,X,,,,,X,,,,,X,,,,,,P,,,,,,,,,,,,,,,X,,,,,,,,,,,,,P,,,,,,P,P,,,X,,,p,,,,p,,,,p,,X,,,,,,,,,,,,,,,,,,,,,PX,,,,,,,,,
Who I'd Be,p,p,,,,,,p,,,,p,,p,,x?,,,,,,,A,,,,,,,,,,,,,p,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astonishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,p,,p,,,,p,,,,,,,,,,,,,,,
Baby One More Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,
Come To Your Senses,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desperado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,p,,,,,,,,,,,,
Do You Hear The People Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Cry Out Loud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,p,,p,p,p,p,p,P,P,,,,
Fly Fly Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimmie Gimmie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,p,p,,p,,,,p,p,,p,p,p,p,p,,p,p,p,,,,
I Am What I Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Have Nothing,,,,,,,,,,,,,,,,,,,,,,p,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Won't Send Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,,,,p,,,,,,,,,,p,,,,,
"Love, Look Away",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loving You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,
Meadowlark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requiem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She Used To Be Mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Someone To Fall Back On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
Suddenly Seymour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They Just Keep Movin' The Line,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Baking Can Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Kind of Fool Am I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why God,,,,,,,,,,,,,,,,,,,,,,p,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Are Beautiful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
You Must Love Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,